n,p,v,corpus
スーパー,が,存在する,ted
こつ,を,知る,ted
人々,が,いる,ted
車椅子,に,乗る,ted
脳幹,を,含む,ted
脳幹,を,含む,ted
脳,から,来る,ted
密度,が,上昇する,ted
脳,から,来る,ted
密度,が,上昇する,ted
ソフト,を,動かす,ted
カメラ,が,捕捉する,ted
光点,を,捕捉する,ted
位置,を,登録する,ted
アルゴア,が,受ける,ted
数,が,及ぶ,ted
回答,を,得る,ted
シャーマン,が,死ぬ,ted
図書館,が,焼失する,ted
プレッシャー,に,さらされる,ted
生き残り,を,かける,ted
本能,が,結び付く,ted
弓,と,結び付く,ted
家,を,攻撃する,ted
こと,に,ある,ted
利益,が,ある,ted
私達,が,消費する,ted
石油,を,消費する,ted
間,に,発見される,ted
同情,を,誘う,ted
遠く,に,轟く,ted
物質,を,試す,ted
フィラメント,に,適する,ted
さん,が,気付かない,ted
問題,に,気付かない,ted
此処,で,する,ted
終わり,に,する,ted
液,を,吸い出す,ted
穴,から,吸い出す,ted
実際,に,存在する,ted
動物,が,存在する,ted
こと,を,知る,ted
人々,が,暮らす,ted
地帯,を,ご紹介する,ted
腕,を,つかまれる,ted
モード,に,なる,ted
スクリーン,に,表示される,ted
グラフィックス,が,表示される,ted
相手,を,選ぶ,ted
後ろ,に,下がる,ted
ゴッホ,が,描く,ted
タバコ,を,吸う,ted
此処,に,来る,ted
こと,を,乗り越える,ted
マッカーシー,が,ご紹介する,ted
結果,を,ご紹介する,ted
賞,を,断念する,ted
貴方,が,抗議したい,ted
物質,を,排出する,ted
企業,が,壊す,ted
環境,を,壊す,ted
身体,に,成長する,ted
心,に,染みる,ted
療法,で,治療する,ted
成年者,を,治療する,ted
一人,と,なる,ted
経験,を,教える,ted
影響,を,食い止める,ted
若者,に,与える,ted
時間,を,与える,ted
内側,を,のぞく,ted
台,を,一掃する,ted
アメリカ,に,移住する,ted
最初,に,泊まる,ted
ホテル,を,予約する,ted
海面,で,引く,ted
網,を,引く,ted
結果,に,なる,ted
電灯,が,消える,ted
家族,で,キャンプする,ted
郊外,で,キャンプする,ted
頃,に,始まる,ted
フレーム,で,撮影する,ted
方,に,見える,ted
穴,を,開ける,ted
等,に,足りない,ted
皆,で,集まる,ted
高速道路,を,廃止する,ted
海岸,から,離れる,ted
此処,で,落ち着かず,ted
南下,を,続ける,ted
ベルト,を,締め直す,ted
パソコン,を,戻す,ted
鞄,に,戻す,ted
